"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///internal/commands/clients.go:25:27:25:112""]].","/internal/commands/clients.go","25","27","25","112"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///internal/commands/users.go:12:22:12:63""]].","/internal/commands/users.go","12","22","12","63"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""password""|""relative:///internal/config/test.go:118:20:118:31""]].","/internal/config/test.go","118","20","118","31"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///internal/entity/auth_user_fixtures.go:33:17:33:23""]].","/internal/entity/auth_user_fixtures.go","33","17","33","23"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///internal/entity/auth_user_fixtures.go:87:17:87:24""]].","/internal/entity/auth_user_fixtures.go","87","17","87","24"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///internal/entity/auth_user_fixtures.go:111:17:111:25""]].","/internal/entity/auth_user_fixtures.go","111","17","111","25"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///internal/entity/auth_user_fixtures.go:133:17:133:29""]].","/internal/entity/auth_user_fixtures.go","133","17","133","29"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///internal/entity/auth_user_fixtures.go:157:17:157:24""]].","/internal/entity/auth_user_fixtures.go","157","17","157","24"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///internal/entity/auth_user_fixtures.go:179:17:179:22""]].","/internal/entity/auth_user_fixtures.go","179","17","179","22"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""id""|""relative:///internal/entity/auth_user_fixtures.go:208:17:208:23""]].","/internal/entity/auth_user_fixtures.go","208","17","208","23"
"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","Hard-coded [[""secret""|""relative:///internal/service/hub/places/location.go:44:14:44:25""]].","/internal/service/hub/places/location.go","44","14","44","25"
